lesson_id,user_id,lesson_number,completed,time_spent_seconds,xp_earned,date
les_1,d1a10472-b145-4e37-8e2f-fb09dd8640ea,1,1,56,20,2025-09-26
les_2,d1a10472-b145-4e37-8e2f-fb09dd8640ea,2,1,106,18,2025-10-02
les_3,d1a10472-b145-4e37-8e2f-fb09dd8640ea,3,0,81,4,2025-09-18
les_4,d1a10472-b145-4e37-8e2f-fb09dd8640ea,4,0,37,3,2025-09-27
les_5,d1a10472-b145-4e37-8e2f-fb09dd8640ea,5,0,21,1,2025-09-29
les_6,d1a10472-b145-4e37-8e2f-fb09dd8640ea,6,0,60,4,2025-09-26
les_7,d1a10472-b145-4e37-8e2f-fb09dd8640ea,7,0,19,9,2025-09-30
les_8,d1a10472-b145-4e37-8e2f-fb09dd8640ea,8,1,102,19,2025-09-27
les_9,d1a10472-b145-4e37-8e2f-fb09dd8640ea,9,0,44,4,2025-09-25
les_10,d1a10472-b145-4e37-8e2f-fb09dd8640ea,10,1,105,20,2025-09-24
les_11,0d044152-4e85-42c2-b2af-2ad08bb98503,1,1,63,23,2025-11-26
les_12,0d044152-4e85-42c2-b2af-2ad08bb98503,2,1,108,22,2025-11-24
les_13,0d044152-4e85-42c2-b2af-2ad08bb98503,3,0,23,9,2025-12-02
les_14,0d044152-4e85-42c2-b2af-2ad08bb98503,4,0,58,5,2025-12-08
les_15,0d044152-4e85-42c2-b2af-2ad08bb98503,5,1,65,27,2025-11-19
les_16,0d044152-4e85-42c2-b2af-2ad08bb98503,6,1,94,19,2025-12-07
les_17,0d044152-4e85-42c2-b2af-2ad08bb98503,7,1,85,26,2025-12-04
les_18,0d044152-4e85-42c2-b2af-2ad08bb98503,8,0,73,4,2025-11-26
les_19,0d044152-4e85-42c2-b2af-2ad08bb98503,9,1,107,11,2025-12-05
les_20,0d044152-4e85-42c2-b2af-2ad08bb98503,10,0,10,4,2025-11-27
les_21,569f0fb4-7d2d-430b-97b9-723cb66886b8,1,1,100,17,2025-12-13
les_22,569f0fb4-7d2d-430b-97b9-723cb66886b8,2,0,28,5,2025-12-17
les_23,569f0fb4-7d2d-430b-97b9-723cb66886b8,3,0,25,10,2025-12-18
les_24,569f0fb4-7d2d-430b-97b9-723cb66886b8,4,0,63,7,2025-12-11
les_25,569f0fb4-7d2d-430b-97b9-723cb66886b8,5,0,75,5,2025-12-01
les_26,569f0fb4-7d2d-430b-97b9-723cb66886b8,6,0,52,10,2025-12-01
les_27,bf82553b-18cb-448e-b1e6-45a292ba2e46,1,1,75,17,2025-09-18
les_28,bf82553b-18cb-448e-b1e6-45a292ba2e46,2,0,55,4,2025-09-15
les_29,bf82553b-18cb-448e-b1e6-45a292ba2e46,3,1,86,19,2025-09-11
les_30,bf82553b-18cb-448e-b1e6-45a292ba2e46,4,1,42,15,2025-09-03
les_31,bf82553b-18cb-448e-b1e6-45a292ba2e46,5,0,20,5,2025-09-18
les_32,bf82553b-18cb-448e-b1e6-45a292ba2e46,6,1,106,14,2025-09-15
les_33,bf82553b-18cb-448e-b1e6-45a292ba2e46,7,0,17,5,2025-09-02
les_34,bf82553b-18cb-448e-b1e6-45a292ba2e46,8,0,53,4,2025-09-04
les_35,c633081f-6993-4bcb-b4c4-85b0c3817a8b,1,0,50,6,2025-11-14
les_36,c633081f-6993-4bcb-b4c4-85b0c3817a8b,2,1,54,27,2025-11-06
les_37,c633081f-6993-4bcb-b4c4-85b0c3817a8b,3,0,14,4,2025-11-12
les_38,c633081f-6993-4bcb-b4c4-85b0c3817a8b,4,1,57,20,2025-11-14
les_39,c633081f-6993-4bcb-b4c4-85b0c3817a8b,5,1,92,18,2025-10-31
les_40,c633081f-6993-4bcb-b4c4-85b0c3817a8b,6,0,27,2,2025-11-14
les_41,c633081f-6993-4bcb-b4c4-85b0c3817a8b,7,0,48,6,2025-11-17
les_42,c633081f-6993-4bcb-b4c4-85b0c3817a8b,8,1,49,22,2025-10-31
les_43,959d4a22-d640-4ae8-9a84-e5a07b975b89,1,1,125,22,2025-11-09
les_44,959d4a22-d640-4ae8-9a84-e5a07b975b89,2,1,34,24,2025-11-17
les_45,959d4a22-d640-4ae8-9a84-e5a07b975b89,3,0,36,5,2025-11-22
les_46,959d4a22-d640-4ae8-9a84-e5a07b975b89,4,0,16,4,2025-11-04
les_47,959d4a22-d640-4ae8-9a84-e5a07b975b89,5,0,50,6,2025-11-22
les_48,959d4a22-d640-4ae8-9a84-e5a07b975b89,6,0,37,5,2025-11-19
les_49,959d4a22-d640-4ae8-9a84-e5a07b975b89,7,1,94,21,2025-11-20
les_50,959d4a22-d640-4ae8-9a84-e5a07b975b89,8,0,10,6,2025-11-11
les_51,5690e2a7-d39a-424f-a09e-94fa2baea307,1,0,25,6,2025-11-24
les_52,5690e2a7-d39a-424f-a09e-94fa2baea307,2,0,45,3,2025-11-06
les_53,5690e2a7-d39a-424f-a09e-94fa2baea307,3,0,25,10,2025-11-15
les_54,5690e2a7-d39a-424f-a09e-94fa2baea307,4,0,40,8,2025-11-22
les_55,5690e2a7-d39a-424f-a09e-94fa2baea307,5,0,22,4,2025-11-05
les_56,5690e2a7-d39a-424f-a09e-94fa2baea307,6,0,69,5,2025-11-20
les_57,5690e2a7-d39a-424f-a09e-94fa2baea307,7,0,30,4,2025-11-19
les_58,5690e2a7-d39a-424f-a09e-94fa2baea307,8,0,36,2,2025-11-21
les_59,8cec0b90-b2a0-455f-911d-f873916e2ba1,1,0,31,6,2025-12-01
les_60,27163b15-0ab5-4064-8bc3-31ae818d649a,1,1,90,20,2025-09-18
les_61,27163b15-0ab5-4064-8bc3-31ae818d649a,2,1,88,18,2025-09-10
les_62,27163b15-0ab5-4064-8bc3-31ae818d649a,3,1,56,24,2025-09-13
les_63,27163b15-0ab5-4064-8bc3-31ae818d649a,4,1,125,21,2025-09-11
les_64,27163b15-0ab5-4064-8bc3-31ae818d649a,5,1,76,21,2025-09-09
les_65,27163b15-0ab5-4064-8bc3-31ae818d649a,6,1,105,25,2025-09-09
les_66,27163b15-0ab5-4064-8bc3-31ae818d649a,7,0,49,8,2025-09-05
les_67,9f05b65c-7bcd-4d65-a5db-cf2c86872112,1,1,108,23,2025-11-21
les_68,720d6601-426a-48cc-87a3-800c354cb9a8,1,1,101,21,2025-09-27
les_69,720d6601-426a-48cc-87a3-800c354cb9a8,2,0,39,4,2025-09-17
les_70,720d6601-426a-48cc-87a3-800c354cb9a8,3,0,31,3,2025-09-26
les_71,ac3da9a8-091c-468f-8b39-1ece1cb5bc36,1,0,88,5,2025-09-08
les_72,ac3da9a8-091c-468f-8b39-1ece1cb5bc36,2,0,44,4,2025-09-01
les_73,ac3da9a8-091c-468f-8b39-1ece1cb5bc36,3,0,10,5,2025-09-20
les_74,ac3da9a8-091c-468f-8b39-1ece1cb5bc36,4,0,47,4,2025-09-15
les_75,ac3da9a8-091c-468f-8b39-1ece1cb5bc36,5,1,126,23,2025-09-18
les_76,ac3da9a8-091c-468f-8b39-1ece1cb5bc36,6,0,61,5,2025-09-05
les_77,ac3da9a8-091c-468f-8b39-1ece1cb5bc36,7,0,26,4,2025-09-18
les_78,8f09c763-4ec4-46e5-a1e0-2dfe1e0f4bd8,1,1,88,12,2025-08-12
les_79,8f09c763-4ec4-46e5-a1e0-2dfe1e0f4bd8,2,1,96,18,2025-08-20
les_80,eb051539-be50-4b4b-ba00-6197ed08fae0,1,0,57,4,2025-10-14
les_81,eb051539-be50-4b4b-ba00-6197ed08fae0,2,1,63,25,2025-09-25
les_82,eb051539-be50-4b4b-ba00-6197ed08fae0,3,1,106,22,2025-10-04
les_83,eb051539-be50-4b4b-ba00-6197ed08fae0,4,0,25,2,2025-10-10
les_84,eb051539-be50-4b4b-ba00-6197ed08fae0,5,1,116,20,2025-09-27
les_85,eb051539-be50-4b4b-ba00-6197ed08fae0,6,1,85,19,2025-09-29
les_86,eb051539-be50-4b4b-ba00-6197ed08fae0,7,0,60,3,2025-10-11
les_87,ccc6a0ef-695d-48b6-96d3-2cebc1499781,1,1,115,28,2025-11-24
les_88,ccc6a0ef-695d-48b6-96d3-2cebc1499781,2,1,103,29,2025-11-30
les_89,ccc6a0ef-695d-48b6-96d3-2cebc1499781,3,1,108,23,2025-11-30
les_90,ccc6a0ef-695d-48b6-96d3-2cebc1499781,4,1,106,13,2025-11-26
les_91,ccc6a0ef-695d-48b6-96d3-2cebc1499781,5,0,72,5,2025-12-11
les_92,ccc6a0ef-695d-48b6-96d3-2cebc1499781,6,0,10,4,2025-11-30
les_93,ccc6a0ef-695d-48b6-96d3-2cebc1499781,7,0,30,4,2025-11-30
les_94,22ecf4bc-955e-4c45-8891-74fde0a48bd0,1,1,111,21,2025-09-27
les_95,22ecf4bc-955e-4c45-8891-74fde0a48bd0,2,0,27,7,2025-09-19
les_96,22ecf4bc-955e-4c45-8891-74fde0a48bd0,3,0,34,6,2025-09-22
les_97,22ecf4bc-955e-4c45-8891-74fde0a48bd0,4,0,61,6,2025-10-08
les_98,22ecf4bc-955e-4c45-8891-74fde0a48bd0,5,0,36,5,2025-09-24
les_99,22ecf4bc-955e-4c45-8891-74fde0a48bd0,6,0,10,1,2025-10-07
les_100,22ecf4bc-955e-4c45-8891-74fde0a48bd0,7,1,89,17,2025-09-23
les_101,22ecf4bc-955e-4c45-8891-74fde0a48bd0,8,0,59,5,2025-10-03
les_102,3e1e89b7-89df-47cb-ac3a-9016b980b3a2,1,0,34,5,2025-10-21
les_103,b0ba1d08-859b-4a3b-8c9c-fef107a960ac,1,1,78,20,2025-12-04
les_104,b0ba1d08-859b-4a3b-8c9c-fef107a960ac,2,1,87,27,2025-12-07
les_105,b0ba1d08-859b-4a3b-8c9c-fef107a960ac,3,0,66,9,2025-12-06
les_106,b0ba1d08-859b-4a3b-8c9c-fef107a960ac,4,1,62,23,2025-12-14
les_107,b0ba1d08-859b-4a3b-8c9c-fef107a960ac,5,0,50,4,2025-12-04
les_108,b0ba1d08-859b-4a3b-8c9c-fef107a960ac,6,0,10,1,2025-12-15
les_109,b0ba1d08-859b-4a3b-8c9c-fef107a960ac,7,0,31,4,2025-11-30
les_110,21d2b5c3-c22a-49a1-9f0c-2071dd64f7d6,1,1,100,19,2025-12-10
les_111,21d2b5c3-c22a-49a1-9f0c-2071dd64f7d6,2,0,41,3,2025-12-02
les_112,21d2b5c3-c22a-49a1-9f0c-2071dd64f7d6,3,1,118,19,2025-12-04
les_113,21d2b5c3-c22a-49a1-9f0c-2071dd64f7d6,4,1,127,12,2025-12-19
les_114,23d22621-e411-4648-bab4-8a5100fdc64e,1,0,60,6,2025-11-26
les_115,23d22621-e411-4648-bab4-8a5100fdc64e,2,1,91,20,2025-12-07
les_116,23d22621-e411-4648-bab4-8a5100fdc64e,3,0,22,4,2025-12-05
les_117,23d22621-e411-4648-bab4-8a5100fdc64e,4,0,41,7,2025-12-04
les_118,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,1,1,72,21,2025-11-13
les_119,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,2,1,70,19,2025-11-20
les_120,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,3,1,125,15,2025-11-26
les_121,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,4,1,83,26,2025-11-11
les_122,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,5,1,85,20,2025-11-12
les_123,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,6,0,10,6,2025-11-24
les_124,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,7,0,12,7,2025-11-17
les_125,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,8,0,47,3,2025-11-07
les_126,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,9,0,55,4,2025-11-26
les_127,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,10,1,92,30,2025-11-14
les_128,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,11,1,75,21,2025-11-09
les_129,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,12,1,125,21,2025-11-07
les_130,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,13,0,38,5,2025-11-11
les_131,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,14,0,10,5,2025-11-20
les_132,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,15,0,98,5,2025-11-18
les_133,99ed815a-311c-44b9-8bb7-f3a907deec4e,1,1,81,23,2025-11-19
les_134,99ed815a-311c-44b9-8bb7-f3a907deec4e,2,1,89,14,2025-11-13
les_135,99ed815a-311c-44b9-8bb7-f3a907deec4e,3,1,100,19,2025-11-19
les_136,99ed815a-311c-44b9-8bb7-f3a907deec4e,4,1,98,20,2025-11-21
les_137,99ed815a-311c-44b9-8bb7-f3a907deec4e,5,0,54,5,2025-11-11
les_138,8007e194-d394-4eb2-8fb0-835ea86fc42f,1,1,72,19,2025-10-12
les_139,8007e194-d394-4eb2-8fb0-835ea86fc42f,2,0,15,4,2025-10-12
les_140,8007e194-d394-4eb2-8fb0-835ea86fc42f,3,1,96,18,2025-10-15
les_141,8007e194-d394-4eb2-8fb0-835ea86fc42f,4,1,91,25,2025-10-08
les_142,9af4b668-c5b9-41da-910d-9e61a6073ddc,1,0,11,5,2025-09-21
les_143,9af4b668-c5b9-41da-910d-9e61a6073ddc,2,0,18,10,2025-10-03
les_144,9af4b668-c5b9-41da-910d-9e61a6073ddc,3,0,66,6,2025-09-30
