session_id,user_id,date,xp_earned,streak,gems_used,lesson_count
ses_1,d1a10472-b145-4e37-8e2f-fb09dd8640ea,2025-09-13,23,0,1,1
ses_2,d1a10472-b145-4e37-8e2f-fb09dd8640ea,2025-09-15,27,3,0,1
ses_3,d1a10472-b145-4e37-8e2f-fb09dd8640ea,2025-09-25,13,0,0,0
ses_4,d1a10472-b145-4e37-8e2f-fb09dd8640ea,2025-09-29,20,1,0,1
ses_5,0d044152-4e85-42c2-b2af-2ad08bb98503,2025-11-24,26,1,3,1
ses_6,569f0fb4-7d2d-430b-97b9-723cb66886b8,2025-11-30,18,3,0,4
ses_7,569f0fb4-7d2d-430b-97b9-723cb66886b8,2025-12-03,16,2,1,2
ses_8,bf82553b-18cb-448e-b1e6-45a292ba2e46,2025-08-31,32,0,1,3
ses_9,c633081f-6993-4bcb-b4c4-85b0c3817a8b,2025-11-03,29,1,3,2
ses_10,c633081f-6993-4bcb-b4c4-85b0c3817a8b,2025-11-08,20,0,0,3
ses_11,959d4a22-d640-4ae8-9a84-e5a07b975b89,2025-11-02,26,3,0,1
ses_12,5690e2a7-d39a-424f-a09e-94fa2baea307,2025-11-06,18,0,0,2
ses_13,5690e2a7-d39a-424f-a09e-94fa2baea307,2025-11-09,32,0,0,0
ses_14,5690e2a7-d39a-424f-a09e-94fa2baea307,2025-11-13,17,3,0,0
ses_15,5690e2a7-d39a-424f-a09e-94fa2baea307,2025-11-14,27,4,0,1
ses_16,5690e2a7-d39a-424f-a09e-94fa2baea307,2025-11-15,25,5,2,2
ses_17,5690e2a7-d39a-424f-a09e-94fa2baea307,2025-11-16,26,6,1,3
ses_18,8cec0b90-b2a0-455f-911d-f873916e2ba1,2025-11-21,22,1,0,0
ses_19,8cec0b90-b2a0-455f-911d-f873916e2ba1,2025-11-25,27,1,1,1
ses_20,27163b15-0ab5-4064-8bc3-31ae818d649a,2025-09-01,19,1,0,1
ses_21,27163b15-0ab5-4064-8bc3-31ae818d649a,2025-09-04,16,3,0,0
ses_22,27163b15-0ab5-4064-8bc3-31ae818d649a,2025-09-06,28,2,0,1
ses_23,9f05b65c-7bcd-4d65-a5db-cf2c86872112,2025-11-20,30,2,0,0
ses_24,9f05b65c-7bcd-4d65-a5db-cf2c86872112,2025-11-24,21,1,0,0
ses_25,9f05b65c-7bcd-4d65-a5db-cf2c86872112,2025-11-26,25,0,0,1
ses_26,9f05b65c-7bcd-4d65-a5db-cf2c86872112,2025-11-29,23,2,0,3
ses_27,720d6601-426a-48cc-87a3-800c354cb9a8,2025-09-08,19,2,0,1
ses_28,720d6601-426a-48cc-87a3-800c354cb9a8,2025-09-11,27,3,0,2
ses_29,720d6601-426a-48cc-87a3-800c354cb9a8,2025-09-12,30,4,2,2
ses_30,720d6601-426a-48cc-87a3-800c354cb9a8,2025-09-13,29,5,0,2
ses_31,720d6601-426a-48cc-87a3-800c354cb9a8,2025-09-14,32,6,0,0
ses_32,ac3da9a8-091c-468f-8b39-1ece1cb5bc36,2025-09-06,29,3,1,0
ses_33,ac3da9a8-091c-468f-8b39-1ece1cb5bc36,2025-09-09,25,3,2,1
ses_34,8f09c763-4ec4-46e5-a1e0-2dfe1e0f4bd8,2025-08-12,30,2,0,2
ses_35,8f09c763-4ec4-46e5-a1e0-2dfe1e0f4bd8,2025-08-16,23,1,1,2
ses_36,8f09c763-4ec4-46e5-a1e0-2dfe1e0f4bd8,2025-08-25,27,0,1,1
ses_37,8f09c763-4ec4-46e5-a1e0-2dfe1e0f4bd8,2025-09-02,27,1,0,4
ses_38,eb051539-be50-4b4b-ba00-6197ed08fae0,2025-09-26,21,1,0,0
ses_39,eb051539-be50-4b4b-ba00-6197ed08fae0,2025-09-30,31,0,0,4
ses_40,eb051539-be50-4b4b-ba00-6197ed08fae0,2025-10-11,29,3,0,2
ses_41,ccc6a0ef-695d-48b6-96d3-2cebc1499781,2025-11-22,25,2,0,1
ses_42,ccc6a0ef-695d-48b6-96d3-2cebc1499781,2025-11-27,27,1,0,1
ses_43,22ecf4bc-955e-4c45-8891-74fde0a48bd0,2025-09-19,28,1,0,1
ses_44,22ecf4bc-955e-4c45-8891-74fde0a48bd0,2025-09-22,22,1,0,2
ses_45,22ecf4bc-955e-4c45-8891-74fde0a48bd0,2025-09-25,16,3,0,2
ses_46,3e1e89b7-89df-47cb-ac3a-9016b980b3a2,2025-10-10,23,2,1,0
ses_47,3e1e89b7-89df-47cb-ac3a-9016b980b3a2,2025-10-16,22,0,0,4
ses_48,b0ba1d08-859b-4a3b-8c9c-fef107a960ac,2025-11-29,21,2,0,2
ses_49,b0ba1d08-859b-4a3b-8c9c-fef107a960ac,2025-12-02,31,3,0,0
ses_50,b0ba1d08-859b-4a3b-8c9c-fef107a960ac,2025-12-04,19,1,0,4
ses_51,b0ba1d08-859b-4a3b-8c9c-fef107a960ac,2025-12-14,23,3,0,1
ses_52,21d2b5c3-c22a-49a1-9f0c-2071dd64f7d6,2025-12-01,20,2,0,0
ses_53,21d2b5c3-c22a-49a1-9f0c-2071dd64f7d6,2025-12-02,24,3,0,0
ses_54,21d2b5c3-c22a-49a1-9f0c-2071dd64f7d6,2025-12-03,32,4,0,0
ses_55,23d22621-e411-4648-bab4-8a5100fdc64e,2025-11-22,34,3,0,1
ses_56,23d22621-e411-4648-bab4-8a5100fdc64e,2025-11-30,25,3,2,1
ses_57,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,2025-11-06,28,3,0,1
ses_58,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,2025-11-11,31,1,0,1
ses_59,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,2025-11-12,35,2,3,0
ses_60,dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,2025-11-13,24,3,0,1
ses_61,99ed815a-311c-44b9-8bb7-f3a907deec4e,2025-11-04,24,3,1,1
ses_62,8007e194-d394-4eb2-8fb0-835ea86fc42f,2025-10-06,27,2,0,1
ses_63,8007e194-d394-4eb2-8fb0-835ea86fc42f,2025-10-10,16,0,0,2
ses_64,8007e194-d394-4eb2-8fb0-835ea86fc42f,2025-10-14,23,0,0,2
ses_65,9af4b668-c5b9-41da-910d-9e61a6073ddc,2025-09-18,31,3,1,0
ses_66,9af4b668-c5b9-41da-910d-9e61a6073ddc,2025-09-20,16,2,0,1
ses_67,9af4b668-c5b9-41da-910d-9e61a6073ddc,2025-09-21,15,3,0,4
ses_68,077affac-b595-4d22-ad47-9bca4040ceac,2025-12-01,23,0,0,0
ses_69,f5c41794-50c5-484e-be2c-63d2959a8e3e,2025-09-24,21,0,3,1
ses_70,f5c41794-50c5-484e-be2c-63d2959a8e3e,2025-10-04,27,0,0,1
ses_71,f5c41794-50c5-484e-be2c-63d2959a8e3e,2025-10-05,25,1,0,2
ses_72,d0f5b9a8-88c6-4a62-96c2-9db5f5c6bbb5,2025-11-09,32,0,0,0
ses_73,d0f5b9a8-88c6-4a62-96c2-9db5f5c6bbb5,2025-11-13,20,3,0,2
ses_74,d0f5b9a8-88c6-4a62-96c2-9db5f5c6bbb5,2025-11-15,16,3,0,3
ses_75,d0f5b9a8-88c6-4a62-96c2-9db5f5c6bbb5,2025-11-17,33,3,0,0
ses_76,d0f5b9a8-88c6-4a62-96c2-9db5f5c6bbb5,2025-11-23,33,3,0,3
ses_77,82cbe59d-f028-4c38-9c54-76ef20610d01,2025-09-07,25,2,0,1
ses_78,82cbe59d-f028-4c38-9c54-76ef20610d01,2025-09-12,24,1,0,0
ses_79,bc3ee45e-0817-41f0-a516-3b6e98735b35,2025-09-12,22,1,0,1
ses_80,bc3ee45e-0817-41f0-a516-3b6e98735b35,2025-09-20,25,0,0,1
ses_81,511650c1-d69d-4605-ba55-ebd9a52354d0,2025-09-07,34,0,0,2
ses_82,511650c1-d69d-4605-ba55-ebd9a52354d0,2025-09-09,29,3,3,0
ses_83,511650c1-d69d-4605-ba55-ebd9a52354d0,2025-09-11,20,2,0,1
ses_84,511650c1-d69d-4605-ba55-ebd9a52354d0,2025-09-13,27,3,0,2
ses_85,511650c1-d69d-4605-ba55-ebd9a52354d0,2025-09-14,32,4,0,2
ses_86,f3c0449e-a187-45a0-a9d4-02d5ad3ec78e,2025-09-26,32,1,3,2
ses_87,f3c0449e-a187-45a0-a9d4-02d5ad3ec78e,2025-09-29,18,3,0,1
ses_88,f3c0449e-a187-45a0-a9d4-02d5ad3ec78e,2025-09-30,25,4,0,0
ses_89,f3c0449e-a187-45a0-a9d4-02d5ad3ec78e,2025-10-02,28,0,0,4
ses_90,f3c0449e-a187-45a0-a9d4-02d5ad3ec78e,2025-10-03,27,1,1,1
